City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Cape Town,ZA,-33.9258,18.4232,65.88,68,0,1.99,clear sky
79,Beli Potok,RS,44.7061,20.5197,39.38,79,74,2.91,broken clouds
80,Albany,US,42.6001,-73.9662,14.14,85,99,3.22,overcast clouds
81,Kavaratti,IN,10.5669,72.642,77.94,58,81,4.79,broken clouds
82,Kuna,US,43.4918,-116.4201,31.78,78,0,1.99,clear sky
83,Surt,LY,31.2089,16.5887,54.01,53,6,12.68,clear sky
84,Akhmim,EG,26.5622,31.745,48.4,65,5,6.87,clear sky
85,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,94,75,20.6,broken clouds
86,Akyab,MM,20.15,92.9,76.53,59,23,5.99,few clouds
87,Simao,CN,22.7886,100.9748,68.43,53,0,7.87,clear sky
88,Tumen,CN,42.9661,129.8425,16.27,51,76,15.12,broken clouds
89,Port Keats,AU,-14.25,129.55,86.2,65,63,9.51,light rain
90,Xinmin,CN,41.9908,122.8253,21.45,35,0,12.28,clear sky
91,San Quintin,MX,30.4833,-115.95,55.74,50,17,3.91,few clouds
92,Rio Gallegos,AR,-51.6226,-69.2181,50.05,71,0,19.57,clear sky
93,Patti,IN,31.2808,74.8572,46.47,71,0,4.59,clear sky
94,Victoria,HK,22.2855,114.1577,66.18,71,66,1.99,broken clouds
95,Altay,CN,47.8667,88.1167,16.21,66,0,3.53,clear sky
96,Tiream,RO,47.6167,22.4667,33.98,78,100,5.23,overcast clouds
97,Vrangel,RU,42.7297,133.0839,15.17,47,5,20.31,clear sky
98,Dakar,SN,14.6937,-17.4441,68.88,100,0,2.3,clear sky
99,Sabha,LY,27.0377,14.4283,46.89,37,0,7.23,clear sky
100,Leh,IN,34.1667,77.5833,1.27,87,88,2.73,overcast clouds
101,Natal,BR,-5.795,-35.2094,79.45,83,20,5.75,few clouds
102,Kobyzhcha,UA,50.8285,31.5044,21.11,97,97,6.85,overcast clouds
103,Mahebourg,MU,-20.4081,57.7,80.89,83,75,19.57,broken clouds
104,Necochea,AR,-38.5473,-58.7368,64.04,74,100,8.21,moderate rain
105,Saint-Junien,FR,45.8833,0.9,39.78,97,84,3.36,broken clouds
106,Alpena,US,45.0617,-83.4327,6.94,88,100,1.01,overcast clouds
107,Gunjur,GM,13.2019,-16.7339,64.47,77,0,0.0,clear sky
108,Ponta Do Sol,PT,32.6667,-17.1,63.01,70,84,4.88,broken clouds
109,Sao Filipe,CV,14.8961,-24.4956,72.57,72,0,12.28,clear sky
110,Ushuaia,AR,-54.8,-68.3,44.26,87,0,5.75,clear sky
111,Jalu,LY,29.0331,21.5482,48.11,78,0,5.68,clear sky
112,Barra Do Garcas,BR,-15.89,-52.2567,73.0,91,54,0.34,broken clouds
113,Prince Rupert,CA,54.3161,-130.3201,44.29,93,100,11.5,mist
114,Maceio,BR,-9.6658,-35.7353,74.64,88,40,4.61,scattered clouds
115,Mango,US,27.9797,-82.3065,70.18,94,40,6.91,scattered clouds
116,La Rioja,ES,42.25,-2.5,37.18,94,100,3.2,overcast clouds
117,Hofn,IS,64.2539,-15.2082,26.33,66,100,14.74,overcast clouds
