City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Ketchikan,US,2022-02-05 03:11:06,55.3422,-131.6461,45.07,76,75,6.91
59,Bayji,IQ,2022-02-05 03:11:06,34.9311,43.487,49.5,73,85,5.32
60,Jamestown,US,2022-02-05 03:04:54,42.097,-79.2353,20.52,51,100,4.61
61,Mizan Teferi,ET,2022-02-05 03:11:07,6.9833,35.5833,66.56,65,99,1.14
62,Lompoc,US,2022-02-05 03:10:47,34.6391,-120.4579,57.13,74,0,0.0
63,Mehamn,NO,2022-02-05 03:05:55,71.0357,27.8492,19.44,83,100,28.9
64,Tucumcari,US,2022-02-05 03:11:07,35.1717,-103.725,26.44,63,0,5.75
65,Qaanaaq,GL,2022-02-05 03:01:32,77.484,-69.3632,1.63,70,100,6.31
66,Naze,JP,2022-02-05 03:04:02,28.3667,129.4833,53.62,64,98,17.29
67,Tulagi,SB,2022-02-05 03:11:07,-9.0996,160.1476,83.25,75,100,8.12
68,Hovd,MN,2022-02-05 03:11:08,48.0056,91.6419,-7.53,80,6,1.25
69,Matagami,CA,2022-02-05 03:11:08,49.7502,-77.6328,-9.49,98,100,1.88
70,Yulara,AU,2022-02-05 03:07:32,-25.2406,130.9889,82.2,19,0,10.4
71,Dharchula,IN,2022-02-05 03:11:08,29.85,80.5333,41.23,71,0,5.12
72,Karratha,AU,2022-02-05 03:05:59,-20.7377,116.8463,93.38,52,49,19.1
73,Sao Joao Da Barra,BR,2022-02-05 03:05:50,-21.6403,-41.0511,76.01,85,99,20.96
74,Tigil,RU,2022-02-05 03:11:09,57.8,158.6667,15.33,81,100,3.44
75,Hay River,CA,2022-02-05 03:09:01,60.8156,-115.7999,-8.36,94,100,8.79
76,Piacabucu,BR,2022-02-05 03:11:09,-10.4056,-36.4344,78.22,76,29,8.43
77,Gorin,RU,2022-02-05 03:11:10,51.1983,136.6669,10.24,85,100,5.01
78,Thompson,CA,2022-02-05 03:00:26,55.7435,-97.8558,-30.3,100,8,3.02
79,Sabzevar,IR,2022-02-05 03:07:15,36.2126,57.6819,45.37,39,4,2.66
80,Neuquen,AR,2022-02-05 03:07:14,-38.9516,-68.0591,62.49,72,40,9.22
81,Lakes Entrance,AU,2022-02-05 03:05:38,-37.8811,147.981,72.57,58,34,11.61
82,Guerrero Negro,MX,2022-02-05 03:06:25,27.9769,-114.0611,60.53,35,0,1.88
83,Port Blair,IN,2022-02-05 03:04:58,11.6667,92.75,84.24,74,40,5.75
84,San Cristobal,VE,2022-02-05 03:06:02,7.7669,-72.225,71.78,91,51,2.3
85,Abu Dhabi,AE,2022-02-05 03:07:19,24.4667,54.3667,64.96,86,2,1.99
86,Qui Nhon,VN,2022-02-05 03:07:38,13.7667,109.2333,74.86,84,82,19.15
87,Polunochnoye,RU,2022-02-05 03:11:10,60.8697,60.4153,8.19,96,100,0.67
88,Umea,SE,2022-02-05 03:11:11,63.8284,20.2597,32.92,100,100,5.75
89,Golden,US,2022-02-05 03:10:40,39.7555,-105.2211,33.62,68,0,4.0
90,Maracaibo,VE,2022-02-05 03:11:11,10.6317,-71.6406,78.78,75,6,15.5
91,Yatou,CN,2022-02-05 03:11:12,37.15,122.3833,30.02,39,78,16.44
92,Beloha,MG,2022-02-05 03:04:58,-25.1667,45.05,74.25,87,34,13.82
93,Pisco,PE,2022-02-05 03:07:16,-13.7,-76.2167,67.01,82,0,8.05
94,New Norfolk,AU,2022-02-05 03:00:53,-42.7826,147.0587,69.89,51,98,1.99
95,Aklavik,CA,2022-02-05 03:06:28,68.2191,-135.0107,-25.69,90,6,17.67
96,Staroaleyskoye,RU,2022-02-05 03:11:12,51.0061,82.0,-4.22,98,54,4.07
97,Port Elizabeth,ZA,2022-02-05 03:05:05,-33.918,25.5701,67.1,79,94,7.83
98,Haines Junction,CA,2022-02-05 03:05:14,60.7522,-137.5108,1.92,99,100,2.1
99,Okhotsk,RU,2022-02-05 03:06:23,59.3833,143.3,6.66,71,99,16.11
100,Atasu,KZ,2022-02-05 03:11:13,48.6814,71.6433,7.3,77,4,10.42
101,Mar Del Plata,AR,2022-02-05 03:00:30,-38.0023,-57.5575,68.09,85,100,1.01
102,Lonar,IN,2022-02-05 03:11:13,19.9833,76.5333,63.57,26,98,5.5
103,Georgetown,MY,2022-02-05 03:04:54,5.4112,100.3354,84.13,76,20,8.05
104,Tomatlan,MX,2022-02-05 03:05:43,19.9333,-105.25,66.43,78,4,2.53
105,Chimoio,MZ,2022-02-05 03:11:14,-19.1164,33.4833,65.57,98,99,3.74
106,Dikson,RU,2022-02-05 03:05:40,73.5069,80.5464,-1.71,92,100,4.99
